SONY,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-09-18,59.650002,59.939999,59.490002,59.830002,59.830002,1143900,146
2018-09-19,59.619999,59.740002,58.91,59,59,1105900,147
2018-09-20,58.950001,59.150002,58.779999,59.099998,59.099998,678300,148
2018-09-21,57.400002,58.040001,56.639999,57,57,3685600,149
2018-09-24,56.939999,57.119999,56.650002,56.849998,56.849998,1276700,150
2018-09-25,58.700001,58.799999,58.32,58.529999,58.529999,1154700,151
2018-09-26,59.709999,59.799999,59.310001,59.450001,59.450001,1068800,152
2018-09-27,59.389999,59.799999,59.189999,59.529999,59.529999,608600,153
2018-09-28,61,61,60.470001,60.650002,60.650002,1584600,154
2018-10-01,60.810001,61.02,60.529999,60.580002,60.580002,632300,155
2018-10-02,60.099998,60.169998,59.709999,59.82,59.82,727200,156
2018-10-03,58.650002,58.669998,58.259998,58.32,58.32,979300,157
2018-10-04,58.150002,58.169998,56.700001,57.07,57.07,1836000,158
2018-10-05,57.75,57.91,56.790001,57.23,57.23,775400,159
2018-10-08,56.900002,57.330002,56.450001,57.07,57.07,937700,160
2018-10-09,57.810001,58.23,57.779999,57.970001,57.970001,1069700,161
2018-10-10,57.860001,57.889999,56.040001,56.099998,56.099998,1611400,162
2018-10-11,55.990002,56.619999,55.200001,55.52,55.52,1296800,163
2018-10-12,55.740002,56.169998,54.889999,55.509998,55.509998,1411800,164
2018-10-15,55.560001,56.630001,55.419998,56.25,56.25,1403300,165
2018-10-16,56.900002,57.529999,56.790001,57.5,57.5,1339500,166
2018-10-17,57.889999,58.119999,57.41,57.900002,57.900002,1160300,167
2018-10-18,57.200001,57.200001,55.610001,56.029999,56.029999,1755400,168
2018-10-19,56.48,56.669998,55.650002,55.669998,55.669998,769200,169
2018-10-22,56,56.139999,55.470001,55.779999,55.779999,503000,170
2018-10-23,54.5,55.25,53.349998,55.07,55.07,1461800,171
2018-10-24,55,55.009998,53.07,53.080002,53.080002,1589900,172
2018-10-25,52.990002,53.869999,52.639999,53.48,53.48,1818600,173
2018-10-26,52.029999,52.75,51.740002,52.41,52.41,2727300,174
2018-10-29,52.66,52.970001,50.310001,51,51,2568700,175
2018-10-30,54,54.889999,53,53.43,53.43,2709200,176
2018-10-31,54.279999,54.48,53.700001,54.130001,54.130001,1766900,177
2018-11-01,55.490002,55.689999,54.900002,55.66,55.66,1538300,178
2018-11-02,54.709999,54.91,53.279999,53.66,53.66,1563400,179
2018-11-05,53.740002,53.740002,53.169998,53.32,53.32,958900,180
2018-11-06,53.619999,53.869999,53.23,53.5,53.5,711000,181
2018-11-07,54.490002,55.470001,54.259998,55.259998,55.259998,1616100,182
2018-11-08,54.939999,55.009998,54.07,54.41,54.41,1076600,183
2018-11-09,54.18,54.34,53.759998,54.07,54.07,957800,184
2018-11-12,52.689999,52.720001,51.450001,51.529999,51.529999,1650000,185
2018-11-13,51.459999,51.919998,51.09,51.240002,51.240002,949800,186
2018-11-14,51.59,51.66,50.720001,51.139999,51.139999,871900,187
